 frequency  @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__nfet_g5v0d10v5[vth] frequency 
 1.000e+00 -2.082e-20 -2.261e-15  3.309e-20  1.476e-15  2.312e-15 -5.142e-17  1.574e-15  5.749e-17  1.518e-12  3.270e-11  1.404e-11  1.835e-12  5.000e-07  7.000e-01  4.188e-02 -1.064e-13  8.347e-01  1.000e+00 
 1.000e+00 -1.025e-20 -1.900e-15  1.925e-20  1.476e-15  1.920e-15 -2.024e-17  1.574e-15  1.842e-17  1.079e-13  2.346e-12  7.427e-13  1.239e-13  5.000e-07  7.000e-01  4.358e-02  1.605e-14  9.285e-01  1.000e+00 
 1.000e+00 -5.368e-21 -1.669e-15  1.098e-20  1.476e-15  1.678e-15 -8.951e-18  1.574e-15  7.153e-18  1.267e-14  2.733e-13  6.973e-14  1.389e-14  5.000e-07  7.000e-01  4.471e-02  4.563e-14  1.006e+00  1.000e+00 
 1.000e+00 -2.935e-21 -1.506e-15  6.281e-21  1.476e-15  1.510e-15 -4.263e-18  1.574e-15  3.110e-18  2.040e-15  4.336e-14  9.354e-15  2.145e-15  5.000e-07  7.000e-01  4.555e-02  6.951e-14  1.072e+00  1.000e+00 
 1.000e+00 -2.511e-20 -2.261e-15  3.625e-20  1.470e-15  2.312e-15 -5.146e-17  1.574e-15  5.754e-17  1.523e-12  3.541e-11  1.519e-11  1.987e-12  5.000e-07  8.000e-01  4.188e-02 -1.152e-13  8.346e-01  1.000e+00 
 1.000e+00 -1.163e-20 -1.900e-15  2.032e-20  1.470e-15  1.920e-15 -2.027e-17  1.574e-15  1.844e-17  1.087e-13  2.551e-12  8.063e-13  1.347e-13  5.000e-07  8.000e-01  4.358e-02  1.542e-14  9.283e-01  1.000e+00 
 1.000e+00 -5.899e-21 -1.669e-15  1.141e-20  1.470e-15  1.678e-15 -8.964e-18  1.574e-15  7.164e-18  1.280e-14  2.984e-13  7.598e-14  1.517e-14  5.000e-07  8.000e-01  4.471e-02  4.555e-14  1.006e+00  1.000e+00 
 1.000e+00 -3.165e-21 -1.506e-15  6.473e-21  1.470e-15  1.510e-15 -4.270e-18  1.574e-15  3.116e-18  2.066e-15  4.751e-14  1.023e-14  2.351e-15  5.000e-07  8.000e-01  4.555e-02  6.950e-14  1.072e+00  1.000e+00 
 1.000e+00 -2.776e-20 -2.261e-15  3.821e-20  1.465e-15  2.312e-15 -5.150e-17  1.574e-15  5.760e-17  1.531e-12  3.813e-11  1.633e-11  2.140e-12  5.000e-07  9.000e-01  4.188e-02 -1.241e-13  8.345e-01  1.000e+00 
 1.000e+00 -1.248e-20 -1.900e-15  2.098e-20  1.465e-15  1.920e-15 -2.029e-17  1.574e-15  1.847e-17  1.096e-13  2.757e-12  8.702e-13  1.457e-13  5.000e-07  9.000e-01  4.358e-02  1.478e-14  9.282e-01  1.000e+00 
 1.000e+00 -6.231e-21 -1.669e-15  1.168e-20  1.465e-15  1.678e-15 -8.977e-18  1.574e-15  7.176e-18  1.294e-14  3.237e-13  8.228e-14  1.646e-14  5.000e-07  9.000e-01  4.471e-02  4.548e-14  1.005e+00  1.000e+00 
 1.000e+00 -3.310e-21 -1.506e-15  6.597e-21  1.465e-15  1.510e-15 -4.278e-18  1.574e-15  3.122e-18  2.094e-15  5.171e-14  1.111e-14  2.559e-15  5.000e-07  9.000e-01  4.555e-02  6.948e-14  1.072e+00  1.000e+00 
 1.000e+00 -2.950e-20 -2.261e-15  3.950e-20  1.461e-15  2.312e-15 -5.154e-17  1.574e-15  5.765e-17  1.540e-12  4.086e-11  1.748e-11  2.293e-12  5.000e-07  1.000e+00  4.188e-02 -1.330e-13  8.343e-01  1.000e+00 
 1.000e+00 -1.304e-20 -1.900e-15  2.143e-20  1.461e-15  1.920e-15 -2.031e-17  1.574e-15  1.849e-17  1.105e-13  2.966e-12  9.346e-13  1.567e-13  5.000e-07  1.000e+00  4.358e-02  1.415e-14  9.280e-01  1.000e+00 
 1.000e+00 -6.451e-21 -1.669e-15  1.186e-20  1.461e-15  1.678e-15 -8.990e-18  1.574e-15  7.187e-18  1.309e-14  3.493e-13  8.865e-14  1.776e-14  5.000e-07  1.000e+00  4.471e-02  4.540e-14  1.005e+00  1.000e+00 
 1.000e+00 -3.406e-21 -1.506e-15  6.682e-21  1.461e-15  1.510e-15 -4.285e-18  1.574e-15  3.128e-18  2.122e-15  5.597e-14  1.201e-14  2.769e-15  5.000e-07  1.000e+00  4.555e-02  6.947e-14  1.072e+00  1.000e+00 
 1.000e+00 -3.069e-20 -2.261e-15  4.039e-20  1.458e-15  2.312e-15 -5.158e-17  1.574e-15  5.771e-17  1.551e-12  4.362e-11  1.864e-11  2.448e-12  5.000e-07  1.100e+00  4.188e-02 -1.420e-13  8.342e-01  1.000e+00 
 1.000e+00 -1.343e-20 -1.900e-15  2.174e-20  1.458e-15  1.920e-15 -2.033e-17  1.574e-15  1.851e-17  1.116e-13  3.176e-12  9.996e-13  1.678e-13  5.000e-07  1.100e+00  4.358e-02  1.350e-14  9.279e-01  1.000e+00 
 1.000e+00 -6.604e-21 -1.669e-15  1.199e-20  1.458e-15  1.678e-15 -9.003e-18  1.574e-15  7.199e-18  1.324e-14  3.751e-13  9.508e-14  1.907e-14  5.000e-07  1.100e+00  4.471e-02  4.533e-14  1.005e+00  1.000e+00 
 1.000e+00 -3.474e-21 -1.506e-15  6.744e-21  1.458e-15  1.510e-15 -4.293e-18  1.574e-15  3.135e-18  2.151e-15  6.029e-14  1.291e-14  2.983e-15  5.000e-07  1.100e+00  4.555e-02  6.946e-14  1.071e+00  1.000e+00 
 1.000e+00 -3.153e-20 -2.261e-15  4.102e-20  1.454e-15  2.312e-15 -5.163e-17  1.574e-15  5.776e-17  1.562e-12  4.639e-11  1.981e-11  2.603e-12  5.000e-07  1.200e+00  4.188e-02 -1.510e-13  8.341e-01  1.000e+00 
 1.000e+00 -1.371e-20 -1.900e-15  2.196e-20  1.454e-15  1.920e-15 -2.036e-17  1.574e-15  1.854e-17  1.126e-13  3.388e-12  1.065e-12  1.790e-13  5.000e-07  1.200e+00  4.358e-02  1.285e-14  9.277e-01  1.000e+00 
 1.000e+00 -6.715e-21 -1.669e-15  1.209e-20  1.454e-15  1.678e-15 -9.016e-18  1.574e-15  7.211e-18  1.339e-14  4.013e-13  1.016e-13  2.040e-14  5.000e-07  1.200e+00  4.471e-02  4.525e-14  1.005e+00  1.000e+00 
 1.000e+00 -3.524e-21 -1.506e-15  6.792e-21  1.454e-15  1.510e-15 -4.301e-18  1.574e-15  3.141e-18  2.181e-15  6.467e-14  1.383e-14  3.200e-15  5.000e-07  1.200e+00  4.555e-02  6.945e-14  1.071e+00  1.000e+00 
 1.000e+00 -3.215e-20 -2.261e-15  4.149e-20  1.451e-15  2.313e-15 -5.167e-17  1.574e-15  5.782e-17  1.574e-12  4.918e-11  2.098e-11  2.760e-12  5.000e-07  1.300e+00  4.188e-02 -1.601e-13  8.340e-01  1.000e+00 
 1.000e+00 -1.392e-20 -1.900e-15  2.214e-20  1.451e-15  1.920e-15 -2.038e-17  1.574e-15  1.856e-17  1.137e-13  3.602e-12  1.131e-12  1.903e-13  5.000e-07  1.300e+00  4.358e-02  1.220e-14  9.276e-01  1.000e+00 
 1.000e+00 -6.799e-21 -1.669e-15  1.217e-20  1.451e-15  1.678e-15 -9.029e-18  1.574e-15  7.223e-18  1.355e-14  4.278e-13  1.081e-13  2.175e-14  5.000e-07  1.300e+00  4.471e-02  4.517e-14  1.005e+00  1.000e+00 
 1.000e+00 -3.563e-21 -1.506e-15  6.831e-21  1.451e-15  1.510e-15 -4.308e-18  1.574e-15  3.147e-18  2.211e-15  6.910e-14  1.476e-14  3.419e-15  5.000e-07  1.300e+00  4.555e-02  6.943e-14  1.071e+00  1.000e+00 
