 v-sweep         b0              b1              b2              b3              b4              b5              bb0             bb1             bb2             bb3             bb4             bb5             v-sweep         vout           
 1.75781250e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.75781250e-02  4.79862826e+00 
 1.93359375e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.93359375e-02  4.80678387e+00 
 2.10937500e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  2.10937500e-02  4.81545662e+00 
 2.28515625e-02  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  2.28515625e-02  4.82361268e+00 
 2.46093750e-02 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  2.46093750e-02  4.83228544e+00 
 2.63671875e-02  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  2.63671875e-02  4.84095736e+00 
 2.81250000e-02 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  2.81250000e-02  4.84963926e+00 
 2.98828125e-02  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  2.98828125e-02  4.85883814e+00 
 3.16406250e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.16406250e-02  4.86751013e+00 
 3.33984375e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.33984375e-02  4.87669978e+00 
 3.51562500e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.51562500e-02  4.88588962e+00 
 3.69140625e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  3.69140625e-02  4.88588962e+00 
