 time            out             load           
 2.19521600e-05  1.06137263e+00  1.06136858e+00 
 2.19621600e-05  1.06137260e+00  1.06136871e+00 
 2.19721600e-05  1.06137257e+00  1.06136884e+00 
 2.19821600e-05  1.06137255e+00  1.06136896e+00 
 2.19921600e-05  1.06137252e+00  1.06136908e+00 
 2.20021600e-05  1.06137249e+00  1.06136919e+00 
 2.20121600e-05  1.06137247e+00  1.06136930e+00 
 2.20221600e-05  1.06137245e+00  1.06136940e+00 
 2.20321600e-05  1.06137243e+00  1.06136950e+00 
 2.20421600e-05  1.06137240e+00  1.06136959e+00 
 2.20521600e-05  1.06137239e+00  1.06136969e+00 
 2.20621600e-05  1.06137237e+00  1.06136977e+00 
 2.20721600e-05  1.06137235e+00  1.06136986e+00 
 2.20821600e-05  1.06137233e+00  1.06136994e+00 
 2.20921600e-05  1.06137231e+00  1.06137002e+00 
 2.21021600e-05  1.06137230e+00  1.06137009e+00 
 2.21121600e-05  1.06137228e+00  1.06137017e+00 
 2.21221600e-05  1.06137227e+00  1.06137024e+00 
 2.21321600e-05  1.06137225e+00  1.06137030e+00 
 2.21421600e-05  1.06137224e+00  1.06137037e+00 
 2.21521600e-05  1.06137223e+00  1.06137043e+00 
 2.21621600e-05  1.06137221e+00  1.06137049e+00 
 2.21721600e-05  1.06137220e+00  1.06137054e+00 
 2.21821600e-05  1.06137219e+00  1.06137060e+00 
 2.21921600e-05  1.06137217e+00  1.06137065e+00 
 2.22021600e-05  1.06137216e+00  1.06137070e+00 
 2.22121600e-05  1.06137215e+00  1.06137075e+00 
 2.22221600e-05  1.06137214e+00  1.06137079e+00 
 2.22321600e-05  1.06137213e+00  1.06137084e+00 
 2.22421600e-05  1.06137212e+00  1.06137088e+00 
 2.22521600e-05  1.06137212e+00  1.06137092e+00 
 2.22621600e-05  1.06137211e+00  1.06137096e+00 
 2.22721600e-05  1.06137210e+00  1.06137099e+00 
 2.22821600e-05  1.06137210e+00  1.06137103e+00 
 2.22921600e-05  1.06137209e+00  1.06137107e+00 
 2.23021600e-05  1.06137208e+00  1.06137110e+00 
 2.23121600e-05  1.06137208e+00  1.06137113e+00 
 2.23221600e-05  1.06137207e+00  1.06137116e+00 
 2.23321600e-05  1.06137206e+00  1.06137119e+00 
 2.23421600e-05  1.06137205e+00  1.06137122e+00 
 2.23521600e-05  1.06137205e+00  1.06137125e+00 
 2.23621600e-05  1.06137204e+00  1.06137127e+00 
 2.23721600e-05  1.06137203e+00  1.06137130e+00 
 2.23821600e-05  1.06137203e+00  1.06137132e+00 
 2.23921600e-05  1.06137202e+00  1.06137135e+00 
 2.24021600e-05  1.06137202e+00  1.06137137e+00 
 2.24121600e-05  1.06137202e+00  1.06137139e+00 
 2.24221600e-05  1.06137201e+00  1.06137141e+00 
 2.24321600e-05  1.06137201e+00  1.06137143e+00 
 2.24421600e-05  1.06137200e+00  1.06137145e+00 
 2.24521600e-05  1.06137200e+00  1.06137147e+00 
 2.24621600e-05  1.06137200e+00  1.06137148e+00 
 2.24721600e-05  1.06137199e+00  1.06137150e+00 
 2.24821600e-05  1.06137199e+00  1.06137152e+00 
 2.24921600e-05  1.06137199e+00  1.06137153e+00 
 2.25021600e-05  1.06137198e+00  1.06137155e+00 
 2.25121600e-05  1.06137198e+00  1.06137156e+00 
 2.25221600e-05  1.06137197e+00  1.06137157e+00 
 2.25321600e-05  1.06137197e+00  1.06137159e+00 
 2.25421600e-05  1.06137197e+00  1.06137160e+00 
 2.25521600e-05  1.06137196e+00  1.06137161e+00 
 2.25621600e-05  1.06137196e+00  1.06137162e+00 
 2.25721600e-05  1.06137196e+00  1.06137163e+00 
 2.25821600e-05  1.06137195e+00  1.06137164e+00 
 2.25921600e-05  1.06137195e+00  1.06137166e+00 
 2.26021600e-05  1.06137195e+00  1.06137166e+00 
 2.26121600e-05  1.06137195e+00  1.06137167e+00 
 2.26221600e-05  1.06137194e+00  1.06137168e+00 
 2.26321600e-05  1.06137194e+00  1.06137169e+00 
 2.26421600e-05  1.06137194e+00  1.06137170e+00 
 2.26521600e-05  1.06137194e+00  1.06137171e+00 
 2.26621600e-05  1.06137194e+00  1.06137171e+00 
 2.26721600e-05  1.06137194e+00  1.06137172e+00 
 2.26821600e-05  1.06137194e+00  1.06137173e+00 
 2.26921600e-05  1.06137193e+00  1.06137174e+00 
 2.27021600e-05  1.06137193e+00  1.06137174e+00 
 2.27121600e-05  1.06137192e+00  1.06137175e+00 
 2.27221600e-05  1.06137192e+00  1.06137175e+00 
 2.27321600e-05  1.06137192e+00  1.06137176e+00 
 2.27421600e-05  1.06137192e+00  1.06137177e+00 
 2.27521600e-05  1.06137192e+00  1.06137177e+00 
 2.27621600e-05  1.06137192e+00  1.06137178e+00 
 2.27721600e-05  1.06137192e+00  1.06137178e+00 
 2.27821600e-05  1.06137192e+00  1.06137178e+00 
 2.27921600e-05  1.06137192e+00  1.06137179e+00 
 2.28021600e-05  1.06137192e+00  1.06137179e+00 
 2.28121600e-05  1.06137192e+00  1.06137180e+00 
 2.28221600e-05  1.06137192e+00  1.06137180e+00 
 2.28321600e-05  1.06137192e+00  1.06137181e+00 
 2.28421600e-05  1.06137192e+00  1.06137181e+00 
 2.28521600e-05  1.06137192e+00  1.06137181e+00 
 2.28621600e-05  1.06137192e+00  1.06137182e+00 
 2.28721600e-05  1.06137192e+00  1.06137182e+00 
 2.28821600e-05  1.06137191e+00  1.06137182e+00 
 2.28921600e-05  1.06137191e+00  1.06137183e+00 
 2.29021600e-05  1.06137191e+00  1.06137183e+00 
 2.29121600e-05  1.06137191e+00  1.06137183e+00 
 2.29221600e-05  1.06137191e+00  1.06137183e+00 
 2.29321600e-05  1.06137191e+00  1.06137184e+00 
 2.29421600e-05  1.06137191e+00  1.06137184e+00 
 2.29521600e-05  1.06137191e+00  1.06137184e+00 
 2.29621600e-05  1.06137191e+00  1.06137184e+00 
 2.29721600e-05  1.06137191e+00  1.06137185e+00 
 2.29821600e-05  1.06137191e+00  1.06137185e+00 
 2.29921600e-05  1.06137190e+00  1.06137185e+00 
 2.30021600e-05  1.06137190e+00  1.06137185e+00 
 2.30121600e-05  1.06137190e+00  1.06137185e+00 
 2.30221600e-05  1.06137191e+00  1.06137185e+00 
 2.30321600e-05  1.06137191e+00  1.06137186e+00 
 2.30421600e-05  1.06137190e+00  1.06137186e+00 
 2.30521600e-05  1.06137190e+00  1.06137186e+00 
 2.30621600e-05  1.06137190e+00  1.06137186e+00 
 2.30721600e-05  1.06137190e+00  1.06137186e+00 
 2.30821600e-05  1.06137190e+00  1.06137186e+00 
 2.30921600e-05  1.06137190e+00  1.06137186e+00 
 2.31021600e-05  1.06137189e+00  1.06137187e+00 
 2.31121600e-05  1.06137189e+00  1.06137187e+00 
 2.31221600e-05  1.06137189e+00  1.06137187e+00 
 2.31321600e-05  1.06137189e+00  1.06137187e+00 
 2.31421600e-05  1.06137190e+00  1.06137187e+00 
 2.31521600e-05  1.06137190e+00  1.06137187e+00 
 2.31621600e-05  1.06137190e+00  1.06137187e+00 
 2.31721600e-05  1.06137190e+00  1.06137187e+00 
 2.31821600e-05  1.06137190e+00  1.06137187e+00 
 2.31921600e-05  1.06137190e+00  1.06137187e+00 
 2.32021600e-05  1.06137190e+00  1.06137187e+00 
 2.32121600e-05  1.06137190e+00  1.06137187e+00 
 2.32221600e-05  1.06137190e+00  1.06137188e+00 
 2.32321600e-05  1.06137190e+00  1.06137188e+00 
 2.32421600e-05  1.06137190e+00  1.06137188e+00 
 2.32521600e-05  1.06137190e+00  1.06137188e+00 
 2.32621600e-05  1.06137190e+00  1.06137188e+00 
 2.32721600e-05  1.06137190e+00  1.06137188e+00 
 2.32821600e-05  1.06137190e+00  1.06137188e+00 
 2.32921600e-05  1.06137190e+00  1.06137188e+00 
 2.33021600e-05  1.06137190e+00  1.06137188e+00 
 2.33121600e-05  1.06137190e+00  1.06137188e+00 
 2.33221600e-05  1.06137190e+00  1.06137188e+00 
 2.33321600e-05  1.06137190e+00  1.06137188e+00 
 2.33421600e-05  1.06137190e+00  1.06137188e+00 
 2.33521600e-05  1.06137190e+00  1.06137188e+00 
 2.33621600e-05  1.06137190e+00  1.06137188e+00 
 2.33721600e-05  1.06137190e+00  1.06137189e+00 
 2.33821600e-05  1.06137190e+00  1.06137189e+00 
 2.33921600e-05  1.06137190e+00  1.06137189e+00 
 2.34021600e-05  1.06137190e+00  1.06137189e+00 
 2.34121600e-05  1.06137190e+00  1.06137189e+00 
 2.34221600e-05  1.06137190e+00  1.06137189e+00 
 2.34321600e-05  1.06137190e+00  1.06137189e+00 
 2.34421600e-05  1.06137190e+00  1.06137189e+00 
 2.34521600e-05  1.06137190e+00  1.06137189e+00 
 2.34621600e-05  1.06137190e+00  1.06137189e+00 
 2.34721600e-05  1.06137191e+00  1.06137189e+00 
 2.34821600e-05  1.06137191e+00  1.06137189e+00 
 2.34921600e-05  1.06137191e+00  1.06137189e+00 
 2.35021600e-05  1.06137191e+00  1.06137189e+00 
 2.35121600e-05  1.06137191e+00  1.06137189e+00 
 2.35221600e-05  1.06137191e+00  1.06137189e+00 
 2.35321600e-05  1.06137191e+00  1.06137189e+00 
 2.35421600e-05  1.06137190e+00  1.06137189e+00 
 2.35521600e-05  1.06137190e+00  1.06137189e+00 
 2.35621600e-05  1.06137190e+00  1.06137189e+00 
 2.35721600e-05  1.06137190e+00  1.06137189e+00 
 2.35821600e-05  1.06137190e+00  1.06137189e+00 
 2.35921600e-05  1.06137190e+00  1.06137189e+00 
 2.36021600e-05  1.06137190e+00  1.06137189e+00 
 2.36121600e-05  1.06137190e+00  1.06137189e+00 
 2.36221600e-05  1.06137190e+00  1.06137189e+00 
 2.36321600e-05  1.06137190e+00  1.06137189e+00 
 2.36421600e-05  1.06137190e+00  1.06137189e+00 
 2.36521600e-05  1.06137190e+00  1.06137190e+00 
 2.36621600e-05  1.06137190e+00  1.06137190e+00 
 2.36721600e-05  1.06137190e+00  1.06137190e+00 
 2.36821600e-05  1.06137190e+00  1.06137190e+00 
 2.36921600e-05  1.06137190e+00  1.06137190e+00 
 2.37021600e-05  1.06137190e+00  1.06137190e+00 
 2.37121600e-05  1.06137190e+00  1.06137190e+00 
 2.37221600e-05  1.06137190e+00  1.06137190e+00 
 2.37321600e-05  1.06137190e+00  1.06137190e+00 
 2.37421600e-05  1.06137190e+00  1.06137190e+00 
 2.37521600e-05  1.06137190e+00  1.06137190e+00 
 2.37621600e-05  1.06137190e+00  1.06137190e+00 
 2.37721600e-05  1.06137190e+00  1.06137190e+00 
 2.37821600e-05  1.06137190e+00  1.06137190e+00 
 2.37921600e-05  1.06137190e+00  1.06137190e+00 
 2.38021600e-05  1.06137190e+00  1.06137190e+00 
 2.38121600e-05  1.06137190e+00  1.06137190e+00 
 2.38221600e-05  1.06137190e+00  1.06137190e+00 
 2.38321600e-05  1.06137190e+00  1.06137190e+00 
 2.38421600e-05  1.06137190e+00  1.06137190e+00 
 2.38521600e-05  1.06137190e+00  1.06137190e+00 
 2.38621600e-05  1.06137190e+00  1.06137190e+00 
 2.38721600e-05  1.06137190e+00  1.06137190e+00 
 2.38821600e-05  1.06137190e+00  1.06137190e+00 
 2.38921600e-05  1.06137190e+00  1.06137190e+00 
 2.39021600e-05  1.06137190e+00  1.06137190e+00 
 2.39121600e-05  1.06137190e+00  1.06137190e+00 
 2.39221600e-05  1.06137190e+00  1.06137190e+00 
 2.39321600e-05  1.06137190e+00  1.06137190e+00 
 2.39421600e-05  1.06137190e+00  1.06137190e+00 
 2.39521600e-05  1.06137190e+00  1.06137190e+00 
 2.39621600e-05  1.06137190e+00  1.06137190e+00 
 2.39721600e-05  1.06137190e+00  1.06137190e+00 
 2.39821600e-05  1.06137190e+00  1.06137190e+00 
 2.39921600e-05  1.06137190e+00  1.06137190e+00 
 2.40021600e-05  1.06137190e+00  1.06137190e+00 
 2.40121600e-05  1.06137190e+00  1.06137190e+00 
 2.40221600e-05  1.06137190e+00  1.06137190e+00 
 2.40321600e-05  1.06137190e+00  1.06137190e+00 
 2.40421600e-05  1.06137190e+00  1.06137190e+00 
 2.40521600e-05  1.06137190e+00  1.06137190e+00 
 2.40621600e-05  1.06137190e+00  1.06137190e+00 
 2.40721600e-05  1.06137190e+00  1.06137190e+00 
 2.40821600e-05  1.06137190e+00  1.06137190e+00 
 2.40921600e-05  1.06137190e+00  1.06137190e+00 
 2.41021600e-05  1.06137190e+00  1.06137190e+00 
 2.41121600e-05  1.06137190e+00  1.06137190e+00 
 2.41221600e-05  1.06137190e+00  1.06137190e+00 
 2.41321600e-05  1.06137190e+00  1.06137190e+00 
 2.41421600e-05  1.06137190e+00  1.06137190e+00 
 2.41521600e-05  1.06137190e+00  1.06137190e+00 
 2.41621600e-05  1.06137190e+00  1.06137190e+00 
 2.41721600e-05  1.06137190e+00  1.06137190e+00 
 2.41821600e-05  1.06137190e+00  1.06137190e+00 
 2.41921600e-05  1.06137190e+00  1.06137190e+00 
 2.42021600e-05  1.06137190e+00  1.06137190e+00 
 2.42121600e-05  1.06137190e+00  1.06137190e+00 
 2.42221600e-05  1.06137190e+00  1.06137190e+00 
 2.42321600e-05  1.06137190e+00  1.06137190e+00 
 2.42421600e-05  1.06137190e+00  1.06137190e+00 
 2.42521600e-05  1.06137190e+00  1.06137190e+00 
 2.42621600e-05  1.06137190e+00  1.06137190e+00 
 2.42721600e-05  1.06137190e+00  1.06137190e+00 
 2.42821600e-05  1.06137190e+00  1.06137190e+00 
 2.42921600e-05  1.06137190e+00  1.06137190e+00 
 2.43021600e-05  1.06137190e+00  1.06137190e+00 
