 v-sweep         out             load           
 5.50000000e-01  5.50092209e-01  5.49984848e-01 
 5.60000000e-01  5.59985186e-01  5.59984545e-01 
 5.70000000e-01  5.70089387e-01  5.69984381e-01 
 5.80000000e-01  5.80087133e-01  5.79984249e-01 
 5.90000000e-01  5.89984146e-01  5.89984180e-01 
 6.00000000e-01  6.00081758e-01  5.99984278e-01 
 6.10000000e-01  6.09984560e-01  6.09984469e-01 
 6.20000000e-01  6.19985551e-01  6.19984833e-01 
 6.30000000e-01  6.29986072e-01  6.29985357e-01 
 6.40000000e-01  6.39986147e-01  6.39986054e-01 
 6.50000000e-01  6.49986670e-01  6.49986871e-01 
 6.60000000e-01  6.59986428e-01  6.59987831e-01 
 6.70000000e-01  6.69988316e-01  6.69988909e-01 
 6.80000000e-01  6.79990189e-01  6.79990096e-01 
 6.90000000e-01  6.89992239e-01  6.89991352e-01 
 7.00000000e-01  6.99992651e-01  6.99992625e-01 
 7.10000000e-01  7.09934130e-01  7.09994025e-01 
 7.20000000e-01  7.19995188e-01  7.19995240e-01 
 7.30000000e-01  7.29996439e-01  7.29996482e-01 
 7.40000000e-01  7.39998034e-01  7.39997682e-01 
 7.50000000e-01  7.49998919e-01  7.49998788e-01 
 7.60000000e-01  7.59999653e-01  7.59999816e-01 
 7.70000000e-01  7.70000600e-01  7.70000719e-01 
 7.80000000e-01  7.80001432e-01  7.80001516e-01 
 7.90000000e-01  7.90002167e-01  7.90002245e-01 
 8.00000000e-01  8.00002776e-01  8.00002860e-01 
 8.10000000e-01  8.10003306e-01  8.10003373e-01 
 8.20000000e-01  8.20003844e-01  8.20003825e-01 
 8.30000000e-01  8.30004158e-01  8.30004181e-01 
 8.40000000e-01  8.40004477e-01  8.40004494e-01 
 8.50000000e-01  8.50004840e-01  8.50004748e-01 
 8.60000000e-01  8.60004960e-01  8.60004944e-01 
 8.70000000e-01  8.70005162e-01  8.70005115e-01 
 8.80000000e-01  8.80005469e-01  8.80005241e-01 
 8.90000000e-01  8.90005434e-01  8.90005340e-01 
 9.00000000e-01  9.00005264e-01  9.00005412e-01 
 9.10000000e-01  9.10005442e-01  9.10005462e-01 
 9.20000000e-01  9.20005587e-01  9.20005495e-01 
 9.30000000e-01  9.30005477e-01  9.30005510e-01 
 9.40000000e-01  9.40005703e-01  9.40005522e-01 
 9.50000000e-01  9.50005525e-01  9.50005516e-01 
 9.60000000e-01  9.60005492e-01  9.60005506e-01 
 9.70000000e-01  9.70005497e-01  9.70005484e-01 
 9.80000000e-01  9.80005571e-01  9.80005473e-01 
 9.90000000e-01  9.90005460e-01  9.90005438e-01 
 1.00000000e+00  1.00000523e+00  1.00000542e+00 
 1.01000000e+00  1.01000532e+00  1.01000539e+00 
 1.02000000e+00  1.02000529e+00  1.02000536e+00 
 1.03000000e+00  1.03000518e+00  1.03000532e+00 
 1.04000000e+00  1.04000525e+00  1.04000529e+00 
 1.05000000e+00  1.05000511e+00  1.05000525e+00 
 1.06000000e+00  1.06000508e+00  1.06000522e+00 
 1.07000000e+00  1.07000517e+00  1.07000518e+00 
 1.08000000e+00  1.08000515e+00  1.08000514e+00 
 1.09000000e+00  1.09000495e+00  1.09000510e+00 
 1.10000000e+00  1.10000508e+00  1.10000507e+00 
 1.11000000e+00  1.11000490e+00  1.11000503e+00 
 1.12000000e+00  1.12000480e+00  1.12000501e+00 
 1.13000000e+00  1.13000498e+00  1.13000497e+00 
 1.14000000e+00  1.14000485e+00  1.14000493e+00 
 1.15000000e+00  1.15000471e+00  1.15000489e+00 
 1.16000000e+00  1.16000473e+00  1.16000486e+00 
 1.17000000e+00  1.17000484e+00  1.17000483e+00 
 1.18000000e+00  1.17991235e+00  1.18000534e+00 
 1.19000000e+00  1.19000477e+00  1.19000476e+00 
 1.20000000e+00  1.20000475e+00  1.20000473e+00 
 1.21000000e+00  1.21000471e+00  1.21000470e+00 
 1.22000000e+00  1.22000468e+00  1.22000467e+00 
 1.23000000e+00  1.22990432e+00  1.23000531e+00 
 1.24000000e+00  1.24000445e+00  1.24000459e+00 
 1.25000000e+00  1.25000468e+00  1.25000457e+00 
 1.26000000e+00  1.26000454e+00  1.26000453e+00 
 1.27000000e+00  1.27000450e+00  1.27000450e+00 
 1.28000000e+00  1.28000445e+00  1.28000447e+00 
 1.29000000e+00  1.29000438e+00  1.29000444e+00 
 1.30000000e+00  1.30000446e+00  1.30000440e+00 
 1.31000000e+00  1.31000436e+00  1.31000437e+00 
 1.32000000e+00  1.32000419e+00  1.32000434e+00 
 1.33000000e+00  1.33000429e+00  1.33000432e+00 
 1.34000000e+00  1.34000435e+00  1.34000434e+00 
 1.35000000e+00  1.35000424e+00  1.35000427e+00 
 1.36000000e+00  1.36000418e+00  1.36000423e+00 
 1.37000000e+00  1.37000431e+00  1.37000421e+00 
 1.38000000e+00  1.38000419e+00  1.38000418e+00 
 1.39000000e+00  1.39000417e+00  1.39000416e+00 
 1.40000000e+00  1.40000396e+00  1.40000413e+00 
 1.41000000e+00  1.41000412e+00  1.41000411e+00 
 1.42000000e+00  1.42000417e+00  1.42000408e+00 
 1.43000000e+00  1.43000414e+00  1.43000405e+00 
 1.44000000e+00  1.44000407e+00  1.44000404e+00 
 1.45000000e+00  1.45000403e+00  1.45000401e+00 
 1.46000000e+00  1.46000399e+00  1.46000398e+00 
 1.47000000e+00  1.47000398e+00  1.47000397e+00 
 1.48000000e+00  1.48000404e+00  1.48000394e+00 
 1.49000000e+00  1.49000397e+00  1.49000393e+00 
 1.50000000e+00  1.50000389e+00  1.50000391e+00 
 1.51000000e+00  1.51000393e+00  1.51000388e+00 
 1.52000000e+00  1.52000393e+00  1.52000385e+00 
 1.53000000e+00  1.53000386e+00  1.53000384e+00 
 1.54000000e+00  1.54000383e+00  1.54000382e+00 
 1.55000000e+00  1.55000384e+00  1.55000381e+00 
 1.56000000e+00  1.56000399e+00  1.56000378e+00 
 1.57000000e+00  1.57000395e+00  1.57000377e+00 
 1.58000000e+00  1.58000378e+00  1.58000376e+00 
 1.59000000e+00  1.59000375e+00  1.59000373e+00 
 1.60000000e+00  1.60000378e+00  1.60000373e+00 
 1.61000000e+00  1.61000369e+00  1.61000370e+00 
 1.62000000e+00  1.62000374e+00  1.62000369e+00 
 1.63000000e+00  1.63000369e+00  1.63000367e+00 
 1.64000000e+00  1.64000367e+00  1.64000365e+00 
 1.65000000e+00  1.65000365e+00  1.65000364e+00 
 1.66000000e+00  1.66000366e+00  1.66000363e+00 
 1.67000000e+00  1.67000367e+00  1.67000361e+00 
 1.68000000e+00  1.68000365e+00  1.68000360e+00 
 1.69000000e+00  1.69000362e+00  1.69000357e+00 
 1.70000000e+00  1.70000358e+00  1.70000356e+00 
 1.71000000e+00  1.71000358e+00  1.71000355e+00 
 1.72000000e+00  1.72000357e+00  1.72000354e+00 
 1.73000000e+00  1.73000332e+00  1.73000353e+00 
 1.74000000e+00  1.74000352e+00  1.74000351e+00 
 1.75000000e+00  1.75000333e+00  1.75000350e+00 
 1.76000000e+00  1.76000350e+00  1.76000350e+00 
 1.77000000e+00  1.77000344e+00  1.77000349e+00 
 1.78000000e+00  1.78000327e+00  1.78000348e+00 
 1.79000000e+00  1.79000344e+00  1.79000346e+00 
 1.80000000e+00  1.80009500e+00  1.80000409e+00 
 1.81000000e+00  1.81000351e+00  1.81000344e+00 
 1.82000000e+00  1.82000345e+00  1.82000343e+00 
 1.83000000e+00  1.83000347e+00  1.83000343e+00 
 1.84000000e+00  1.84000339e+00  1.84000341e+00 
 1.85000000e+00  1.85000343e+00  1.85000340e+00 
 1.86000000e+00  1.86000342e+00  1.86000340e+00 
 1.87000000e+00  1.87000340e+00  1.87000339e+00 
 1.88000000e+00  1.88000343e+00  1.88000339e+00 
 1.89000000e+00  1.89000341e+00  1.89000338e+00 
 1.90000000e+00  1.90000341e+00  1.90000337e+00 
 1.91000000e+00  1.91000325e+00  1.91000336e+00 
 1.92000000e+00  1.92000325e+00  1.92000336e+00 
 1.93000000e+00  1.93000339e+00  1.93000336e+00 
 1.94000000e+00  1.94000338e+00  1.94000336e+00 
 1.95000000e+00  1.95000338e+00  1.95000335e+00 
 1.96000000e+00  1.96000333e+00  1.96000335e+00 
 1.97000000e+00  1.97000332e+00  1.97000334e+00 
 1.98000000e+00  1.98000335e+00  1.98000334e+00 
 1.99000000e+00  1.99000333e+00  1.99000334e+00 
 2.00000000e+00  2.00000331e+00  2.00000334e+00 
 2.01000000e+00  2.01000330e+00  2.01000334e+00 
 2.02000000e+00  2.02000346e+00  2.02000334e+00 
 2.03000000e+00  2.03000339e+00  2.03000333e+00 
 2.04000000e+00  2.04000342e+00  2.04000333e+00 
 2.05000000e+00  2.05000340e+00  2.05000333e+00 
 2.06000000e+00  2.06000336e+00  2.06000334e+00 
 2.07000000e+00  2.07000341e+00  2.07000334e+00 
 2.08000000e+00  2.08000342e+00  2.08000333e+00 
 2.09000000e+00  2.09000339e+00  2.09000332e+00 
 2.10000000e+00  2.10000337e+00  2.10000332e+00 
 2.11000000e+00  2.11000339e+00  2.11000334e+00 
 2.12000000e+00  2.12000343e+00  2.12000333e+00 
 2.13000000e+00  2.13000339e+00  2.13000333e+00 
 2.14000000e+00  2.14000336e+00  2.14000334e+00 
 2.15000000e+00  2.15000343e+00  2.15000333e+00 
 2.16000000e+00  2.16009825e+00  2.16000300e+00 
 2.17000000e+00  2.17000337e+00  2.17000335e+00 
 2.18000000e+00  2.18000333e+00  2.18000335e+00 
 2.19000000e+00  2.19000334e+00  2.19000335e+00 
 2.20000000e+00  2.20000332e+00  2.20000335e+00 
 2.21000000e+00  2.21000341e+00  2.21000335e+00 
 2.22000000e+00  2.22000335e+00  2.22000336e+00 
 2.23000000e+00  2.23000343e+00  2.23000336e+00 
 2.24000000e+00  2.24000339e+00  2.24000337e+00 
 2.25000000e+00  2.25000335e+00  2.25000337e+00 
 2.26000000e+00  2.26000348e+00  2.26000338e+00 
 2.27000000e+00  2.27000341e+00  2.27000338e+00 
 2.28000000e+00  2.28000351e+00  2.28000338e+00 
 2.29000000e+00  2.29000348e+00  2.29000339e+00 
 2.30000000e+00  2.30000347e+00  2.30000341e+00 
 2.31000000e+00  2.31000348e+00  2.31000341e+00 
 2.32000000e+00  2.32000348e+00  2.32000341e+00 
 2.33000000e+00  2.33000349e+00  2.33000342e+00 
 2.34000000e+00  2.34000349e+00  2.34000343e+00 
 2.35000000e+00  2.35010932e+00  2.35000369e+00 
 2.36000000e+00  2.36000341e+00  2.36000344e+00 
 2.37000000e+00  2.37000346e+00  2.37000344e+00 
 2.38000000e+00  2.38000349e+00  2.38000346e+00 
 2.39000000e+00  2.38990198e+00  2.39000382e+00 
 2.40000000e+00  2.40000345e+00  2.40000347e+00 
 2.41000000e+00  2.41000347e+00  2.41000348e+00 
 2.42000000e+00  2.42000350e+00  2.42000349e+00 
 2.43000000e+00  2.43000354e+00  2.43000350e+00 
 2.44000000e+00  2.44000355e+00  2.44000351e+00 
 2.45000000e+00  2.45000353e+00  2.45000351e+00 
 2.46000000e+00  2.46000356e+00  2.46000353e+00 
 2.47000000e+00  2.47000352e+00  2.47000354e+00 
 2.48000000e+00  2.48000356e+00  2.48000355e+00 
 2.49000000e+00  2.49010212e+00  2.49000396e+00 
 2.50000000e+00  2.49990540e+00  2.50000398e+00 
 2.51000000e+00  2.51000361e+00  2.51000358e+00 
 2.52000000e+00  2.52000360e+00  2.52000358e+00 
 2.53000000e+00  2.53000365e+00  2.53000360e+00 
 2.54000000e+00  2.54000366e+00  2.54000362e+00 
 2.55000000e+00  2.54990678e+00  2.55000404e+00 
 2.56000000e+00  2.56000377e+00  2.56000363e+00 
 2.57000000e+00  2.57000367e+00  2.57000364e+00 
 2.58000000e+00  2.58000376e+00  2.58000366e+00 
 2.59000000e+00  2.59000373e+00  2.59000366e+00 
 2.60000000e+00  2.60000379e+00  2.60000369e+00 
 2.61000000e+00  2.61000385e+00  2.61000370e+00 
 2.62000000e+00  2.62000373e+00  2.62000372e+00 
 2.63000000e+00  2.63000376e+00  2.63000373e+00 
 2.64000000e+00  2.64000370e+00  2.64000374e+00 
 2.65000000e+00  2.65000378e+00  2.65000376e+00 
 2.66000000e+00  2.66000368e+00  2.66000377e+00 
 2.67000000e+00  2.67000370e+00  2.67000379e+00 
 2.68000000e+00  2.68000383e+00  2.68000380e+00 
 2.69000000e+00  2.69000384e+00  2.69000381e+00 
 2.70000000e+00  2.70000385e+00  2.70000383e+00 
 2.71000000e+00  2.71010333e+00  2.71000425e+00 
 2.72000000e+00  2.72000385e+00  2.72000385e+00 
 2.73000000e+00  2.73000377e+00  2.73000387e+00 
 2.74000000e+00  2.74000390e+00  2.74000387e+00 
 2.75000000e+00  2.75000398e+00  2.75000391e+00 
 2.76000000e+00  2.76000395e+00  2.76000392e+00 
 2.77000000e+00  2.77000394e+00  2.77000393e+00 
 2.78000000e+00  2.78000395e+00  2.78000394e+00 
