 frequency  @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cdd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgb] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgd] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgdo] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgg] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[cgso] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[css] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gm] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[gmbs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[id] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[l] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vds] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vdsat] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vgs] @m.xm1.msky130_fd_pr__pfet_g5v0d10v5[vth] frequency  vsb       
 1.000e+00 -5.554e-21 -1.750e-15  1.361e-20  1.057e-15  1.755e-15 -5.024e-18  1.074e-15  3.264e-18  5.074e-18  1.793e-16  6.500e-17  6.893e-18  5.000e-07  4.500e-01  4.512e-02  2.320e-14  1.056e+00  1.000e+00  4.000e-01 
 1.000e+00 -2.704e-21 -1.442e-15  6.963e-21  1.057e-15  1.444e-15 -2.205e-18  1.074e-15  1.271e-18  1.579e-19  5.656e-18  1.698e-18  2.080e-19  5.000e-07  4.500e-01  4.730e-02  4.640e-14  1.146e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.405e-21 -1.255e-15  3.653e-21  1.057e-15  1.256e-15 -1.075e-18  1.074e-15  5.564e-19  7.469e-21  2.682e-19  6.965e-20  9.559e-21  5.000e-07  4.500e-01  4.925e-02  6.960e-14  1.224e+00  1.000e+00  1.200e+00 
 1.000e+00 -4.427e-22 -1.029e-15  1.139e-21  1.057e-15  1.030e-15 -3.401e-19  1.074e-15  1.351e-19  3.843e-23  1.364e-21  2.849e-22  4.658e-23  5.000e-07  4.500e-01  5.283e-02  1.160e-13  1.361e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.291e-22 -8.676e-16  3.233e-22  1.057e-15  8.677e-16 -1.286e-19  1.074e-15  3.087e-20  1.492e-25  5.145e-24  8.787e-25  1.697e-25  5.000e-07  4.500e-01  5.699e-02  1.740e-13  1.506e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.515e-20 -2.407e-15  2.593e-20  1.056e-15  2.420e-15 -1.263e-17  1.074e-15  1.016e-17  3.102e-16  1.101e-14  5.228e-15  4.534e-16  5.000e-07  5.000e-01  4.249e-02 -2.629e-17  9.502e-01  1.000e+00  0.000e+00 
 1.000e+00 -6.449e-21 -1.750e-15  1.434e-20  1.056e-15  1.755e-15 -5.030e-18  1.074e-15  3.270e-18  5.066e-18  1.859e-16  6.737e-17  7.147e-18  5.000e-07  5.000e-01  4.512e-02  2.320e-14  1.056e+00  1.000e+00  4.000e-01 
 1.000e+00 -3.053e-21 -1.442e-15  7.265e-21  1.056e-15  1.444e-15 -2.208e-18  1.074e-15  1.273e-18  1.581e-19  5.871e-18  1.762e-18  2.159e-19  5.000e-07  5.000e-01  4.730e-02  4.640e-14  1.145e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.558e-21 -1.255e-15  3.792e-21  1.056e-15  1.256e-15 -1.077e-18  1.074e-15  5.577e-19  7.495e-21  2.787e-19  7.235e-20  9.933e-21  5.000e-07  5.000e-01  4.925e-02  6.960e-14  1.224e+00  1.000e+00  1.200e+00 
 1.000e+00 -4.803e-22 -1.029e-15  1.176e-21  1.056e-15  1.030e-15 -3.407e-19  1.074e-15  1.355e-19  3.873e-23  1.420e-21  2.965e-22  4.850e-23  5.000e-07  5.000e-01  5.283e-02  1.160e-13  1.361e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.378e-22 -8.676e-16  3.328e-22  1.056e-15  8.677e-16 -1.288e-19  1.074e-15  3.097e-20  1.511e-25  5.373e-24  9.171e-25  1.772e-25  5.000e-07  5.000e-01  5.699e-02  1.740e-13  1.505e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.706e-20 -2.407e-15  2.738e-20  1.055e-15  2.420e-15 -1.264e-17  1.074e-15  1.018e-17  3.096e-16  1.138e-14  5.405e-15  4.688e-16  5.000e-07  5.500e-01  4.249e-02 -2.719e-17  9.499e-01  1.000e+00  0.000e+00 
 1.000e+00 -7.069e-21 -1.750e-15  1.485e-20  1.055e-15  1.755e-15 -5.037e-18  1.074e-15  3.276e-18  5.070e-18  1.925e-16  6.974e-17  7.400e-18  5.000e-07  5.500e-01  4.512e-02  2.320e-14  1.055e+00  1.000e+00  4.000e-01 
 1.000e+00 -3.295e-21 -1.442e-15  7.477e-21  1.055e-15  1.444e-15 -2.211e-18  1.074e-15  1.276e-18  1.586e-19  6.086e-18  1.826e-18  2.239e-19  5.000e-07  5.500e-01  4.730e-02  4.640e-14  1.145e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.665e-21 -1.255e-15  3.891e-21  1.055e-15  1.256e-15 -1.078e-18  1.074e-15  5.589e-19  7.537e-21  2.892e-19  7.506e-20  1.031e-20  5.000e-07  5.500e-01  4.925e-02  6.960e-14  1.224e+00  1.000e+00  1.200e+00 
 1.000e+00 -5.067e-22 -1.029e-15  1.203e-21  1.055e-15  1.030e-15 -3.412e-19  1.074e-15  1.359e-19  3.911e-23  1.477e-21  3.083e-22  5.045e-23  5.000e-07  5.500e-01  5.283e-02  1.160e-13  1.360e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.440e-22 -8.676e-16  3.397e-22  1.055e-15  8.677e-16 -1.289e-19  1.074e-15  3.108e-20  1.533e-25  5.603e-24  9.560e-25  1.848e-25  5.000e-07  5.500e-01  5.699e-02  1.740e-13  1.505e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.842e-20 -2.407e-15  2.841e-20  1.054e-15  2.420e-15 -1.265e-17  1.074e-15  1.019e-17  3.096e-16  1.176e-14  5.582e-15  4.843e-16  5.000e-07  6.000e-01  4.249e-02 -2.809e-17  9.496e-01  1.000e+00  0.000e+00 
 1.000e+00 -7.512e-21 -1.750e-15  1.522e-20  1.054e-15  1.755e-15 -5.043e-18  1.074e-15  3.281e-18  5.084e-18  1.991e-16  7.211e-17  7.654e-18  5.000e-07  6.000e-01  4.512e-02  2.320e-14  1.055e+00  1.000e+00  4.000e-01 
 1.000e+00 -3.470e-21 -1.442e-15  7.632e-21  1.054e-15  1.444e-15 -2.215e-18  1.074e-15  1.278e-18  1.594e-19  6.302e-18  1.890e-18  2.318e-19  5.000e-07  6.000e-01  4.730e-02  4.640e-14  1.145e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.742e-21 -1.255e-15  3.964e-21  1.054e-15  1.256e-15 -1.080e-18  1.074e-15  5.602e-19  7.591e-21  2.998e-19  7.778e-20  1.069e-20  5.000e-07  6.000e-01  4.925e-02  6.960e-14  1.223e+00  1.000e+00  1.200e+00 
 1.000e+00 -5.259e-22 -1.029e-15  1.223e-21  1.054e-15  1.030e-15 -3.418e-19  1.074e-15  1.363e-19  3.955e-23  1.535e-21  3.202e-22  5.242e-23  5.000e-07  6.000e-01  5.283e-02  1.160e-13  1.360e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.485e-22 -8.676e-16  3.449e-22  1.054e-15  8.677e-16 -1.291e-19  1.074e-15  3.118e-20  1.558e-25  5.838e-24  9.955e-25  1.926e-25  5.000e-07  6.000e-01  5.699e-02  1.740e-13  1.504e+00  1.000e+00  3.000e+00 
 1.000e+00 -1.942e-20 -2.407e-15  2.918e-20  1.053e-15  2.420e-15 -1.267e-17  1.074e-15  1.021e-17  3.101e-16  1.213e-14  5.759e-15  4.998e-16  5.000e-07  6.500e-01  4.249e-02 -2.899e-17  9.494e-01  1.000e+00  0.000e+00 
 1.000e+00 -7.840e-21 -1.750e-15  1.549e-20  1.053e-15  1.755e-15 -5.050e-18  1.074e-15  3.287e-18  5.105e-18  2.057e-16  7.448e-17  7.908e-18  5.000e-07  6.500e-01  4.512e-02  2.320e-14  1.055e+00  1.000e+00  4.000e-01 
 1.000e+00 -3.599e-21 -1.442e-15  7.749e-21  1.053e-15  1.444e-15 -2.218e-18  1.074e-15  1.281e-18  1.604e-19  6.520e-18  1.954e-18  2.398e-19  5.000e-07  6.500e-01  4.730e-02  4.640e-14  1.144e+00  1.000e+00  8.000e-01 
 1.000e+00 -1.800e-21 -1.255e-15  4.019e-21  1.053e-15  1.256e-15 -1.082e-18  1.074e-15  5.615e-19  7.656e-21  3.105e-19  8.053e-20  1.107e-20  5.000e-07  6.500e-01  4.925e-02  6.960e-14  1.223e+00  1.000e+00  1.200e+00 
 1.000e+00 -5.403e-22 -1.029e-15  1.239e-21  1.053e-15  1.030e-15 -3.423e-19  1.074e-15  1.367e-19  4.004e-23  1.593e-21  3.322e-22  5.440e-23  5.000e-07  6.500e-01  5.283e-02  1.160e-13  1.360e+00  1.000e+00  2.000e+00 
 1.000e+00 -1.520e-22 -8.676e-16  3.491e-22  1.053e-15  8.677e-16 -1.292e-19  1.074e-15  3.129e-20  1.584e-25  6.076e-24  1.036e-24  2.004e-25  5.000e-07  6.500e-01  5.699e-02  1.740e-13  1.504e+00  1.000e+00  3.000e+00 
