 v-sweep       voutval       vloadval      ir1           ir2           ivdd          ivdda         ivddh         vd9           vd8           vd7           vd6           vd5           vd4           vd3           vd2           vd1           vd0          
 4.400000e+01  8.942920e-01  8.942920e-01  5.131501e-07  1.018756e-06  2.350741e-10  9.928046e-06  8.034123e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 4.500000e+01  9.054169e-01  9.054169e-01  5.131501e-07  1.018756e-06  2.350712e-10  9.934288e-06  8.033483e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 4.600000e+01  9.165417e-01  9.165417e-01  5.131501e-07  1.018756e-06  2.350754e-10  9.939301e-06  8.033128e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 4.700000e+01  9.276665e-01  9.276665e-01  5.131501e-07  1.018756e-06  2.350768e-10  9.943255e-06  8.031422e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 4.800000e+01  9.383212e-01  9.383212e-01  5.131501e-07  1.018756e-06  2.357892e-10  9.946183e-06  7.646404e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 4.900000e+01  9.494459e-01  9.494459e-01  5.131501e-07  1.018756e-06  2.357950e-10  9.948485e-06  7.639867e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.000000e+01  9.601026e-01  9.601026e-01  5.131501e-07  1.018756e-06  2.357943e-10  9.950068e-06  7.635319e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.100000e+01  9.702915e-01  9.702915e-01  5.131501e-07  1.018756e-06  2.357942e-10  9.951109e-06  7.632761e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 5.200000e+01  9.809482e-01  9.809482e-01  5.131501e-07  1.018756e-06  2.357944e-10  9.951780e-06  7.612973e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 5.300000e+01  9.911371e-01  9.911371e-01  5.131501e-07  1.018756e-06  2.357952e-10  9.952085e-06  7.613115e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 5.400000e+01  1.001326e+00  1.001326e+00  5.131501e-07  1.018756e-06  2.357928e-10  9.952121e-06  7.609029e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 5.500000e+01  1.011515e+00  1.011515e+00  5.131501e-07  1.018756e-06  2.357941e-10  9.951940e-06  7.604766e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 5.600000e+01  1.021703e+00  1.021703e+00  5.131501e-07  1.018756e-06  2.357933e-10  9.951577e-06  7.555469e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 5.700000e+01  1.031892e+00  1.031892e+00  5.131501e-07  1.018756e-06  2.357932e-10  9.951072e-06  7.539802e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
 5.800000e+01  1.041612e+00  1.041612e+00  5.131501e-07  1.018756e-06  2.357928e-10  9.950483e-06  7.534153e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00 
 5.900000e+01  1.051331e+00  1.051331e+00  5.131501e-07  1.018756e-06  2.357941e-10  9.949808e-06  7.527758e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00 
 6.000000e+01  1.061051e+00  1.061051e+00  5.131501e-07  1.018756e-06  2.357956e-10  9.949064e-06  7.512801e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00 
 6.100000e+01  1.070771e+00  1.070771e+00  5.131501e-07  1.018756e-06  2.357941e-10  9.948271e-06  7.508858e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00 
 6.200000e+01  1.080490e+00  1.080490e+00  5.131501e-07  1.018756e-06  2.357954e-10  9.947433e-06  7.506371e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00 
 6.300000e+01  1.090210e+00  1.090210e+00  5.131501e-07  1.018756e-06  2.357945e-10  9.946563e-06  7.502179e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00 
 6.400000e+01  1.099479e+00  1.099479e+00  5.131501e-07  1.018756e-06  2.411312e-10  9.945710e-06  9.151476e-10  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00 
 6.500000e+01  1.104691e+00  1.104691e+00  5.131501e-07  1.018756e-06  2.411335e-10  9.945350e-06  9.148118e-10  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00 
