 v-sweep         b0              b1              b2              b3              b4              b5              bb0             bb1             bb2             bb3             bb4             bb5             v-sweep         vout           
 2.46093750e-02 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  2.46093750e-02  1.95183816e+01 
 2.63671875e-02  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  2.63671875e-02  4.84095748e+00 
 2.81250000e-02 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  2.81250000e-02  4.99423282e+00 
 2.98828125e-02  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  2.98828125e-02  4.99423283e+00 
 3.16406250e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.16406250e-02  4.99423284e+00 
 3.33984375e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.33984375e-02  4.99423285e+00 
 3.51562500e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.51562500e-02  4.99423285e+00 
 3.69140625e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.69140625e-02  4.99423285e+00 
 3.86718750e-02  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  3.86718750e-02  4.99423285e+00 
 4.04296875e-02 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.04296875e-02  4.99423286e+00 
 4.21875000e-02  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  4.21875000e-02  4.99423287e+00 
 4.39453125e-02 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.39453125e-02  4.99423286e+00 
 4.57031250e-02  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.57031250e-02  4.99423286e+00 
 4.74609375e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.74609375e-02  4.99423287e+00 
 4.92187500e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  4.92187500e-02  4.99423288e+00 
 5.09765625e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  5.09765625e-02  4.99423288e+00 
 5.27343750e-02  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  5.27343750e-02  4.99423289e+00 
 5.44921875e-02 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  5.44921875e-02  4.99423290e+00 
 5.62500000e-02  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  5.62500000e-02  4.99423290e+00 
 5.80078125e-02 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  5.80078125e-02  5.18865052e+00 
 5.97656250e-02  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  5.97656250e-02  5.18865053e+00 
 6.15234375e-02 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.15234375e-02  5.18865053e+00 
 6.32812500e-02  1.80000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.32812500e-02  5.18865053e+00 
 6.50390625e-02 -0.00000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.50390625e-02  5.18865054e+00 
 6.67968750e-02  1.80000000e+00 -0.00000000e+00  1.80000000e+00 -0.00000000e+00 -0.00000000e+00  1.80000000e+00  1.80000000e+00  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.67968750e-02  5.18865054e+00 
