 v-sweep       d0            d1            d2            d3            d4            d5            d6            d7            d8            d9            in            ir1           ir2           ivdd          ivdda         ivddh         load          v-sweep       vd0           vd1           vd2           vd3           vd4           vd5           vd6           vd7           vd8           vd9           vloadval      vmeas#branch  vmeas1#branch vmeas2#branch vmeas3#branch vmeas4#branch vmeas5#branch vout          voutval       x1.p_in[0]    x1.p_in[1]    x1.p_in[2]    x1.p_in[3]    x1.p_in[4]    x1.v[0]       x1.v[1]       x1.v[62]      x1.v[63]      x1.v[64]      x1.v[65]      x1.v[111]     x1.v[112]     x1.v[113]     x1.v[114]     x1.v[126]     x1.v[127]     x1.v[128]     x1.v[129]     x1.v[190]     x1.v[191]     x1.vh2        x1.vh3        x1.vl2        x1.vl3        x1.vs1        x1.vs4       
 1.757813e-02  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.757813e-02  5.131501e-07  1.018756e-06  2.343547e-10  9.238366e-06  8.828076e-10  3.512092e-01  1.757813e-02  0.000000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.512092e-01  5.131501e-07  1.018756e-06  2.343547e-10  9.238366e-06  8.828076e-10  5.935848e-21  3.512092e-01  3.512092e-01  3.512930e-01  3.512930e-01  3.512930e-01  3.512930e-01  3.512930e-01  0.000000e+00  5.263914e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895761e+00  4.363872e+00  3.512930e-01  4.797912e+00 
 1.933594e-02  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.933594e-02  5.131501e-07  1.018756e-06  2.343549e-10  9.239681e-06  8.817275e-10  3.748444e-01  1.933594e-02  1.800000e+00  1.800000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.748444e-01  5.131501e-07  1.018756e-06  2.343549e-10  9.239681e-06  8.817275e-10 -9.732276e-20  3.748444e-01  3.748444e-01  3.749273e-01  3.749273e-01  3.749273e-01  3.749273e-01  3.749273e-01  0.000000e+00  5.263913e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895762e+00  4.363872e+00  3.749272e-01  4.805970e+00 
 2.109375e-02  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.109375e-02  5.131501e-07  1.018756e-06  2.343546e-10  9.241350e-06  8.813296e-10  3.974051e-01  2.109375e-02  0.000000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.974051e-01  5.131501e-07  1.018756e-06  2.343546e-10  9.241350e-06  8.813296e-10  1.341290e-19  3.974051e-01  3.974051e-01  3.974872e-01  3.974872e-01  3.974872e-01  3.974872e-01  3.974872e-01  0.000000e+00  5.263912e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895761e+00  4.363872e+00  3.974872e-01  4.814566e+00 
 2.285156e-02  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.285156e-02  5.131501e-07  1.018756e-06  2.343556e-10  9.243489e-06  8.809317e-10  4.188917e-01  2.285156e-02  1.800000e+00  0.000000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.188917e-01  5.131501e-07  1.018756e-06  2.343556e-10  9.243489e-06  8.809317e-10 -1.245271e-19  4.188917e-01  4.188917e-01  4.189731e-01  4.189731e-01  4.189731e-01  4.189731e-01  4.189731e-01  0.000000e+00  5.263911e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895762e+00  4.363872e+00  4.189731e-01  4.822624e+00 
 2.460938e-02  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.460938e-02  5.131501e-07  1.018756e-06  2.343569e-10  9.246305e-06  8.798588e-10  4.398416e-01  2.460938e-02  0.000000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.398416e-01  5.131501e-07  1.018756e-06  2.343569e-10  9.246305e-06  8.798588e-10  1.260623e-20  4.398416e-01  4.398416e-01  4.399224e-01  4.399224e-01  4.399224e-01  4.399224e-01  4.399224e-01  0.000000e+00  5.263910e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895762e+00  4.363872e+00  4.399223e-01  4.831219e+00 
 2.636719e-02  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.636719e-02  5.131501e-07  1.018756e-06  2.343552e-10  9.249909e-06  8.796243e-10  4.597173e-01  2.636719e-02  1.800000e+00  1.800000e+00  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.597173e-01  5.131501e-07  1.018756e-06  2.343552e-10  9.249909e-06  8.796243e-10  5.777691e-20  4.597173e-01  4.597173e-01  4.597975e-01  4.597975e-01  4.597975e-01  4.597975e-01  4.597975e-01  0.000000e+00  5.263910e-02  1.027568e+00  1.036163e+00  1.044221e+00  1.167226e+00  3.948092e+00  4.016313e+00  4.051231e+00  4.087222e+00  4.605062e+00  4.660390e+00  4.718942e+00  4.726464e+00  5.471530e+00  5.500000e+00  2.946254e+00  4.408457e+00  2.895762e+00  4.363872e+00  4.597974e-01  4.839815e+00 
 2.812500e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.812500e-02  5.131501e-07  1.018756e-06  2.350748e-10  9.254580e-06  8.476499e-10  4.790531e-01  2.812500e-02  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.790531e-01  5.131501e-07  1.018756e-06  2.350748e-10  9.254580e-06  8.476499e-10  3.278216e-19  4.790531e-01  4.790531e-01  4.791326e-01  4.791326e-01  4.791326e-01  4.791326e-01  4.791326e-01  0.000000e+00  5.263889e-02  1.027565e+00  1.036160e+00  1.044218e+00  1.167223e+00  3.948089e+00  4.016310e+00  4.051228e+00  4.087219e+00  4.605059e+00  4.660387e+00  4.718939e+00  4.726461e+00  5.471530e+00  5.500000e+00  2.996745e+00  4.454114e+00  2.946251e+00  4.408455e+00  4.791326e-01  4.848409e+00 
 2.988281e-02  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  2.988281e-02  5.131501e-07  1.018756e-06  2.350757e-10  9.260385e-06  8.476712e-10  4.973167e-01  2.988281e-02  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  4.973167e-01  5.131501e-07  1.018756e-06  2.350757e-10  9.260385e-06  8.476712e-10 -1.746873e-19  4.973167e-01  4.973167e-01  4.973958e-01  4.973958e-01  4.973958e-01  4.973958e-01  4.973958e-01  0.000000e+00  5.263889e-02  1.027565e+00  1.036160e+00  1.044218e+00  1.167223e+00  3.948088e+00  4.016310e+00  4.051227e+00  4.087219e+00  4.605059e+00  4.660387e+00  4.718939e+00  4.726461e+00  5.471530e+00  5.500000e+00  2.996744e+00  4.454115e+00  2.946251e+00  4.408454e+00  4.973957e-01  4.857540e+00 
 3.164063e-02  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.164063e-02  5.131501e-07  1.018756e-06  2.350709e-10  9.267911e-06  8.470495e-10  5.155803e-01  3.164063e-02  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.155803e-01  5.131501e-07  1.018756e-06  2.350709e-10  9.267911e-06  8.470495e-10 -1.558541e-19  5.155803e-01  5.155803e-01  5.156589e-01  5.156589e-01  5.156589e-01  5.156589e-01  5.156589e-01  0.000000e+00  5.263888e-02  1.027565e+00  1.036160e+00  1.044218e+00  1.167223e+00  3.948088e+00  4.016310e+00  4.051227e+00  4.087219e+00  4.605059e+00  4.660387e+00  4.718939e+00  4.726461e+00  5.471530e+00  5.500000e+00  2.996744e+00  4.454115e+00  2.946251e+00  4.408454e+00  5.156589e-01  4.866136e+00 
 3.339844e-02  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  3.339844e-02  5.131501e-07  1.018756e-06  2.350722e-10  9.276966e-06  8.469252e-10  5.327697e-01  3.339844e-02  1.800000e+00  1.800000e+00  0.000000e+00  0.000000e+00  1.800000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  5.327697e-01  5.131501e-07  1.018756e-06  2.350722e-10  9.276966e-06  8.469252e-10 -1.319055e-19  5.327697e-01  5.327697e-01  5.328478e-01  5.328478e-01  5.328478e-01  5.328478e-01  5.328478e-01  0.000000e+00  5.263888e-02  1.027565e+00  1.036160e+00  1.044218e+00  1.167223e+00  3.948088e+00  4.016310e+00  4.051227e+00  4.087219e+00  4.605059e+00  4.660387e+00  4.718939e+00  4.726461e+00  5.471530e+00  5.500000e+00  2.996744e+00  4.454115e+00  2.946251e+00  4.408454e+00  5.328478e-01  4.875267e+00 
